index,time,x,y,地磁Y,地磁Z,磁偏角,气压,步长,单步转动角,偏航角,俯仰角,滚转角
1421,13703.04,130.315806407559,-33.3166161147621,25.327056494298,-25.751148816182,-0.793700776509148,989.654663,0.581191291276407,-0.00418065992564157,-1.288514,-0.077773,-0.062747
1463,13703.55,129.740390195221,-33.3368297514166,21.709652426782,-28.538268652546,-0.920469186809664,989.657959,0.575771142492835,0.0532382672750686,-1.340508,-0.112069,-0.066035
1497,13703.97,129.173980614591,-33.3221838326573,20.364724731829,-27.933415215354,-0.940841667269703,989.660583,0.566598902192874,-0.0609659931235951,-1.238056,-0.094628,-0.048975
1545,13704.57,128.538212367581,-33.3318516788543,18.920146938825,-28.656155843845,-0.987251139749753,989.664795,0.635841750088601,0.041057094720637,-1.343042,-0.093332,-0.075976
1578,13704.97,128.320198117128,-33.3162099270063,19.640984828496,-26.331249437888,-0.929912042216149,989.654358,0.218574650409635,-0.0868291230120266,-1.143025,-0.077578,-0.056213
1627,13705.58,127.784116158214,-33.2748698873263,19.242274846393,-28.416043868746,-0.975562640905875,989.662292,0.537673567839827,-0.00533909206046547,-1.069977,-0.093944,-0.078766
1668,13706.08,127.198246449486,-33.2357191478689,17.519290707492,-29.758868976617,-1.03872098296652,989.664368,0.587176375551345,0.010237041499144,-1.011478,-0.062047,-0.039819
1710,13706.6,126.62105873604,-33.2266428024692,16.300957904178,-34.269631035455,-1.12680331645168,989.659485,0.577259072339857,0.0510019654671697,-1.16886,-0.052126,-0.056332
1751,13707.11,126.021485391194,-33.179479773767,16.599433636896,-35.773178066153,-1.13634556612917,989.669373,0.601425429397341,-0.0627755202129294,-1.285587,-0.060948,-0.046667
1797,13707.67,125.429151497888,-33.188579545879,16.432354409197,-36.270661465664,-1.14541048828412,989.679382,0.592403787134911,0.0938607067535705,-1.522654,-0.081573,-0.071546
1835,13708.14,124.800268219849,-33.1987185094111,18.583341809156,-35.371189332449,-1.08705089464773,989.680786,0.628965003778588,0.000759410374739159,-1.686614,-0.060075,-0.034553
1875,13708.64,124.219640942262,-33.2043171830521,19.07707930512,-33.15086351691,-1.04861452390038,989.682007,0.58065426944483,-0.00647861570775327,-1.649564,-0.070036,-0.084074
1916,13709.14,123.562320989803,-33.1738946393282,20.982548187894,-31.69757871185,-0.986058850540656,989.687195,0.658023594612846,-0.0558918558862244,-1.476702,-0.064233,-0.075565
1957,13709.65,123.017436287944,-33.1460251895658,22.152072366368,-30.697298799032,-0.945701019737459,989.682312,0.545596961639278,-0.0048531963716334,-1.40573,-0.086229,-0.093145
1998,13710.15,122.481861340678,-33.1090352133147,22.127541721177,-30.702730480574,-0.946310617509518,989.678101,0.536850800951922,-0.0178535217605366,-1.245974,-0.07046,-0.061047
2040,13710.67,121.910364630788,-33.0428535909404,21.515435654137,-32.493823956921,-0.985934653717232,989.670898,0.575315997131332,-0.0463340743955728,-1.245762,-0.147136,-0.092706
2073,13711.08,121.679245980453,-33.0054350438399,25.817744567556,-32.488224845432,-0.899307677142544,989.666077,0.234128123469926,-0.0452186402003488,-1.096358,-0.149244,-0.074447
2123,13711.69,121.050199104413,-32.9345796797736,25.171836414305,-37.125105732303,-0.974969830949191,989.673706,0.63302484538327,0.0483426670501877,-1.226882,-0.10809,-0.070298
2163,13712.19,120.432269826298,-32.8574869178488,28.39776511917,-35.472106405488,-0.895710310089885,989.675476,0.622719749721609,-0.0119520655485258,-1.206114,-0.050275,-0.041065
2206,13712.72,119.773368486569,-32.8508833204821,29.597255942274,-34.319511482335,-0.859145502234385,989.659973,0.658934429966541,0.114096730557084,-1.486043,-0.026863,-0.123485
2239,13713.13,119.203388229348,-32.9596775711561,31.556051735822,-34.030671965318,-0.823110779755239,989.654846,0.580270353026114,0.198626884853471,-1.481569,-0.040471,-0.091478
2289,13713.74,118.735213252941,-33.3115706563184,32.321095726581,-37.667681428626,-0.861642123482635,989.655762,0.585676149351317,0.455936669633468,-1.980039,0.01308,-0.167433
2326,13714.2,118.672308603462,-33.4473650796536,32.63608639901,-42.859091773756,-0.91999217531289,989.654175,0.149656674876329,0.492449574708748,-2.409626,-0.055511,-0.128232
2372,13714.77,118.670083411739,-33.6027838938428,31.994278081,-44.34303385665,-0.945774538787139,989.65625,0.155434742841375,0.419488584358641,-3.068335,-0.064902,-0.055873
2412,13715.26,118.665549593424,-33.7802716610202,34.112714850024,-45.345840187572,-0.925838371984533,989.65686,0.177545664565889,-0.0112224334985069,-2.937871,-0.066978,-0.049096
2455,13715.79,118.661542500479,-34.3410232812514,34.635218868284,-45.448744928977,-0.919613759711852,989.661255,0.560765937255229,0.018393034609692,-3.028863,-0.06089,-0.086749
2487,13716.18,118.643913985444,-34.9621782650958,31.842246403404,-44.871959566839,-0.953640063082099,989.654663,0.621405084061213,-0.0212267937243999,-2.963778,-0.039031,-0.067388
2538,13716.81,118.685445396876,-35.5718993703386,30.259166325473,-45.733987511109,-0.986285895046422,989.654175,0.611133933204568,0.0963829748084272,3.08518,-0.053587,-0.053688
2576,13717.28,118.680291488952,-36.1937994519445,27.780165268286,-43.991067343967,-1.00753965176472,989.663574,0.621921437376346,-0.076297537887032,-3.002613,-0.052132,-0.013309
2616,13717.77,118.681592192565,-36.7392776768995,24.587874386418,-42.222529780414,-1.04346322559819,989.670593,0.545479775729574,0.0106716824232066,-2.92876,-0.06235,-0.065251
2649,13718.18,118.653278100598,-37.3037832343556,23.166461413287,-40.960673407601,-1.05607165310444,989.671875,0.56521519105801,-0.0524998481672457,-2.683943,-0.025429,-0.071249
2689,13718.68,118.6956221922,-37.9067709282758,18.319815944335,-40.761609032587,-1.14840986056767,989.671997,0.604472647117057,0.120224047029538,-2.761842,-0.055945,-0.132447
2737,13719.27,118.711964564871,-38.1461278242969,14.882817886805,-43.786530486086,-1.24315204295116,989.670898,0.239914144679657,-0.00193833895563526,-2.908104,-0.05857,-0.098011
2777,13719.76,118.708299303975,-38.3569925883518,18.85228616855,-45.477884138007,-1.17782082050068,989.668884,0.210896616514682,-0.0855506702696117,-2.831447,-0.069491,-0.130065
2814,13720.22,118.666334594547,-38.8784112000786,21.271145555892,-44.40311042458,-1.12405175744931,989.664063,0.523104583704418,-0.0629284102323005,-2.706198,-0.019921,-0.127947
2856,13720.74,118.627032859674,-39.3976294688382,17.854833694742,-42.855989747274,-1.17604156620911,989.668701,0.520703598007283,0.00475872321215542,-2.872609,-0.084472,-0.151076
2898,13721.25,118.602394481683,-39.6545285086515,16.337519086463,-44.183831423189,-1.21662542238109,989.663086,0.258077829979669,-0.0200644269844199,-2.788404,-0.048825,-0.143643
2920,13721.52,118.590592895222,-39.8553371395267,15.7763264445,-44.113435254675,-1.22733964117415,989.671204,0.20115512341718,0.0369116176275401,-2.785013,-0.0615,-0.161937
2952,13721.92,118.569955896472,-40.0190087700353,16.944175806153,-43.03506650029,-1.19570720180385,989.682007,0.164967537263296,-0.0667231415491543,-2.962524,-0.050332,-0.086108
2998,13722.49,118.489048133787,-40.5755538510433,15.97785200183,-44.406236604043,-1.22540808006788,989.67511,0.562395317598687,-0.0189377849706501,-2.928376,-0.038582,-0.060403
3022,13722.78,118.468759989549,-40.7046902143105,16.161494568597,-44.675170104641,-1.22368740636048,989.679504,0.130720346979774,-0.0114688675631896,-2.955871,-0.059619,-0.05152
3053,13723.17,118.451655271138,-40.8568754653611,16.740097840735,-44.310731744508,-1.20958293226069,989.683411,0.153143468777566,0.0439082392066225,-3.079742,-0.072345,-0.038426
3096,13723.7,118.419977650511,-41.093363316452,15.816279361499,-44.854756108635,-1.23179736655257,989.687805,0.238600032192348,-0.0212333352458928,-3.095218,-0.064722,-0.017161
3130,13724.11,118.379834190699,-41.3284584506162,16.408511655476,-45.191834203611,-1.22251170507242,989.676392,0.238497839557155,-0.03596531004267,-3.084984,-0.064641,-0.007852
3159,13724.47,118.352392181974,-41.5203476589304,16.648090609181,-45.28459167522,-1.21850036989657,989.673706,0.193841512866238,0.027076482193028,3.131942,-0.075537,-0.010406
3191,13724.87,118.329118954452,-41.7269790636006,17.316929622125,-45.385603088135,-1.20629457805167,989.65625,0.207937924668159,0.0298875850563721,3.084448,-0.09848,-0.015611
3247,13725.56,118.251601027857,-42.3248140263757,18.505847901709,-46.670983402534,-1.19329596007744,989.649536,0.602839673263071,-0.0167860673067341,-3.115891,-0.129396,-0.018066
3284,13726.01,118.236857065948,-42.4287296551347,19.409092222325,-45.746413369541,-1.16953931552905,989.629211,0.104956382908044,-0.0119982234045931,-3.015675,-0.142739,-0.001292
3306,13726.29,118.222731814058,-42.5438093538531,19.147332180857,-45.720823147154,-1.17419904092148,989.62793,0.115943347364419,0.0188109021728745,-2.94481,-0.132821,-0.00376
3368,13727.05,118.169482459178,-43.1896268826281,18.6866591714,-45.661430167333,-1.18234660653242,989.604797,0.648009085019788,0.0398657723563011,-2.763035,-0.085903,-0.061638
3411,13727.58,118.162475576605,-43.3087682555628,17.941991039777,-44.341558191614,-1.18630366796022,989.575317,0.119347237706436,0.0235227081613447,-2.709656,-0.153137,-0.022418
3454,13728.11,118.164340767658,-43.5097256534832,17.040012341069,-43.8187804275,-1.19991741752933,989.551086,0.200966053642429,0.0680250906163495,-2.604301,-0.125704,-0.018907
3496,13728.63,118.183262290551,-43.7343927833749,16.339458516643,-42.926917229481,-1.20709514036475,989.535583,0.225462509704687,0.074740713443876,-2.655298,-0.114798,-0.007406
3522,13728.95,118.195858616338,-43.8828003664654,14.924722846714,-42.69853557366,-1.2345339385499,989.507324,0.148941190213102,0.000651651457301676,-2.729016,-0.115873,-0.011057
