index,time,x,y,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,²½³¤,µ¥²½×ª¶¯½Ç,Æ«º½½Ç,¸©Ñö½Ç,¹ö×ª½Ç,,,,,,,,,,,,,,,,,,,,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,,,
2617,3266.89289,40.82576998,-32.79205086,15.64549325,-44.74432807,-1.234420621,996.227966,0.706474581,0.014066359,-1.334193,-0.03541,-0.059537,,,,,,,,,,,,,,,,,,,,31.1024239,-37.12864289,-0.873490332,997.701721,-1.128094,-0.169207,-0.052818
2653,3267.336897,40.18761373,-32.77451553,15.02601753,-44.19073931,-1.243034165,996.245117,0.638397125,-0.029026456,-1.160583,-0.084734,0.015413,,,,,,,,,,,,,,,,,,,,31.311972,-36.95207712,-0.867832822,997.700134,-1.139338,-0.164126,-0.061558
2711,3268.052315,39.62239184,-32.7417122,13.50840341,-43.97225263,-1.27274454,996.230469,0.566172981,-0.03049997,-0.976703,-0.052783,-0.081171,,,,,,,,,,,,,,,,,,,,31.87618616,-36.46647687,-0.852463251,997.700134,-1.16242,-0.154901,-0.082777
2750,3268.533412,38.96242326,-32.68744527,14.4962439,-44.50432097,-1.255907328,996.226074,0.662195917,-0.024070803,-0.716028,-0.070349,-0.023217,,,,,,,,,,,,,,,,,,,,32.07308868,-36.18605825,-0.845580614,997.700134,-1.175539,-0.147937,-0.095865
2799,3269.137785,38.27615697,-32.64859504,13.44407718,-45.80956066,-1.28533413,996.234802,0.687365085,0.025491314,-0.688654,-0.036948,-0.056695,,,,,,,,,,,,,,,,,,,,32.37027745,-35.92047032,-0.837337847,997.700134,-1.184924,-0.144573,-0.106275
2841,3269.655853,37.61899119,-32.63191479,10.52659616,-48.11068966,-1.355391362,996.227783,0.657377432,0.031174014,-0.645267,-0.031701,0.01933,,,,,,,,,,,,,,,,,,,,32.53216743,-36.03294981,-0.836411641,997.700134,-1.179233,-0.146272,-0.111527
2886,3270.210925,36.89879159,-32.59259699,9.458946568,-49.9493408,-1.383641729,996.20874,0.721272043,-0.029162137,-0.848153,-0.0025,-0.0654,,,,,,,,,,,,,,,,,,,,32.54528434,-36.02109507,-0.836047447,997.700134,-1.173684,-0.150851,-0.109999
2922,3270.654943,36.20929388,-32.59428034,5.799617478,-49.53136605,-1.454237274,996.219177,0.689499763,0.056980187,-1.134862,-0.043736,0.028419,,,,,,,,,,,,,,,,,,,,32.51429515,-36.04906572,-0.836907363,997.700134,-1.161046,-0.160355,-0.104946
2977,3271.333329,35.5063872,-32.62273549,6.975869806,-47.96190436,-1.426363062,996.213745,0.703482407,0.038018619,-1.483466,-0.009955,-0.043348,,,,,,,,,,,,,,,,,,,,32.64293073,-36.9952856,-0.847816492,997.700134,-1.132711,-0.167624,-0.103034
3021,3271.876047,34.85835071,-32.63344196,8.569713544,-46.41477327,-1.388219132,996.22699,0.648124921,-0.023940123,-1.453182,-0.064087,-0.023586,,,,,,,,,,,,,,,,,,,,32.8213563,-36.83705589,-0.84298288,997.704346,-1.121626,-0.178595,-0.103174
