-44.65,-11.7
-44.91,-12.34
-45.15,-12.93
-45.4,-13.51
-45.68,-14.13
-45.71,-15.59
-45.95,-14.71
-46.2,-15.28
-46.56,-15.91
-46.88,-16.46
-47.22,-17
-47.59,-17.61
-47.95,-18.17
-48.29,-18.76
-48.59,-19.3
-48.92,-19.89
-49.28,-20.49
-49.59,-21.07
-49.96,-21.66
-50.3,-22.25
-50.3,-22.25
-50.7,-22.91
-50.96,-23.46
-51.26,-24.06
-51.57,-24.68
-51.94,-25.29
-52.28,-25.91
-52.6,-26.56
-52.9,-27.16
-53.19,-27.75
-53.46,-28.35
-53.73,-28.94
-53.96,-29.53
-54.2,-30.16
-54.46,-30.79
-54.46,-30.79
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.7,-31.38
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-50.26,-31.76
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-54.93,-31.9
-55.19,-32.53
-55.45,-33.16
-55.67,-33.81
-55.92,-34.48
-56.1,-35.06
-56.27,-35.75
-56.37,-36.36
-56.5,-37.02
-56.69,-37.7
-56.88,-38.29
-57.06,-38.91
-57.22,-39.59
-57.37,-40.34
-57.52,-41.07
-57.64,-41.7
-57.77,-42.32
-57.9,-42.98
-58.02,-43.66
-58.13,-44.29
-58.25,-44.87
-58.33,-45.45
-58.43,-46.03
-58.54,-46.6
-58.64,-47.19
-58.64,-47.19
-58.74,-47.83
-58.83,-48.41
-58.98,-49.1
-58.98,-49.1
-59.12,-49.68
-59.25,-50.26
-59.31,-50.85
-59.47,-51.58
-59.61,-52.2
-59.84,-52.89
-60.07,-53.43
-60.29,-53.95
-60.48,-54.53
-60.72,-55.18
-60.91,-55.72
-61.13,-56.35
-61.33,-56.92
-61.56,-57.54
-61.78,-58.2
-61.37,-61.79
-61.78,-58.2
-61.98,-58.77
-61.98,-58.77
-62.3,-59.44
-62.61,-60.04
-62.92,-60.61
-63.27,-61.18
-63.63,-61.7
-63.99,-62.25
-64.3,-62.84
-60.14,-65.05
-64.57,-63.43
-64.96,-64.01
-65.28,-64.63
-65.56,-65.25
-65.76,-65.84
-65.98,-66.43
-65.98,-66.43
-66.15,-67
-66.29,-67.59
-66.29,-67.59
-66.49,-68.27
-66.64,-68.89
-66.5,-69.49
-66.24,-70.08
-66.05,-70.8
-66.05,-71.5
-66.67,-71.91
-67.31,-72.18
-67.31,-72.18
-67.94,-72.35
-68.6,-72.42
-69.16,-72.5
-69.87,-72.64
-69.87,-72.64
-69.87,-72.64
-69.87,-72.64
-69.87,-72.64
-69.87,-72.64
-70.11,-73.34
-70.28,-73.92
-70.57,-74.55
-70.92,-75.13
-71.37,-75.69
-71.78,-76.25
-72.18,-76.83
-72.57,-77.44
-72.92,-78.07
-73.22,-78.71
-73.48,-79.39
-73.5,-80.05
-73.46,-80.72
-73.4,-81.34
-73.38,-82.05
-73.36,-82.71
-73.34,-83.38
-73.33,-84.03
-73.33,-84.03
-73.37,-84.68
-73.46,-85.24
-73.76,-85.88
-74.04,-86.52
-74.35,-87.16
-74.61,-87.79
-74.83,-88.41
-75.08,-89.03
-75.36,-89.69
-75.62,-90.32
-75.83,-90.95
-76.05,-91.58
-76.07,-92.3
-75.81,-92.93
-75.81,-92.93
-75.58,-93.56
-75.35,-94.14
-75.12,-94.75
-74.9,-95.35
-74.9,-95.35
-74.7,-95.99
-74.7,-95.99
-74.97,-96.51
-74.97,-96.51
-75.27,-97.06
-75.58,-97.67
-75.9,-98.33
-76.21,-98.95
-76.52,-99.55
-76.79,-100.13
-77.06,-100.78
-77.32,-101.37
-77.58,-101.99
-77.84,-102.66
-78.06,-103.31
-78.3,-103.99
-78.54,-104.67
-78.54,-104.67
-78.74,-105.36
-78.74,-105.36
-78.76,-105.96
-78.88,-106.63
-79.02,-107.29
-78.86,-107.89
-78.63,-108.5
-78.38,-109.14
-78.15,-109.81
-77.91,-110.49
-77.68,-111.14
-77.5,-111.75
-77.34,-112.37
-73.34,-110.92
-77.19,-112.96
-77.04,-113.55
-76.86,-114.17
-73.64,-112.64
-76.67,-114.84
-76.67,-114.84
-76.5,-115.51
-76.5,-115.51
-76.46,-116.08
-73.46,-115.47
-76.46,-116.78
-76.44,-117.44
-76.43,-118.12
-76.4,-118.77
-76.38,-119.44
-76.32,-120.06
-76.25,-120.74
-76.25,-120.74
-76.21,-121.38
-76.51,-121.86
-76.91,-122.31
-72.7,-122.11
-77.37,-122.79
-72.56,-123.64
-77.37,-122.79
-77.84,-123.33
-78.24,-123.79
-78.65,-124.26
-79.09,-124.72
-79.59,-125.21
-80.05,-125.68
-80.51,-126.16
-81,-126.66
-81.5,-127.16
-81.98,-127.6
-81.98,-127.6
-82.48,-127.95
-83.06,-127.84
-83.06,-127.84
-83.59,-127.62
-84.2,-127.36
-84.82,-127.05
-85.43,-126.71
-85.96,-126.37
-86.44,-126.01
-86.95,-125.66
-86.95,-125.66
-86.95,-125.66
-86.95,-125.66
-86.95,-125.66
-86.95,-125.66
-87.55,-125.75
-87.55,-125.75
-87.55,-125.75
-87.55,-125.75
-87.55,-125.75
-87.55,-125.75
-88.14,-125.82
-88.14,-125.82
-88.84,-125.98
-89.41,-126.12
-89.41,-126.12
-89.41,-126.12
-89.41,-126.12
-89.95,-126.22
-89.95,-126.22
-89.95,-126.22
-90.51,-126.32
-91.06,-126.42
-91.06,-126.42
-91.06,-126.42
-91.06,-126.42
-91.06,-126.42
-91.06,-126.42
-91.06,-126.42
-91.06,-126.42
-91.06,-126.42
-91.06,-126.42
-91.82,-126.56
-91.82,-126.56
-91.82,-126.56
-91.82,-126.56
-91.82,-126.56
-91.82,-126.56
-92.49,-126.62
-93.03,-126.63
-94.15,-126.64
-94.77,-126.67
-95.48,-126.69
-96.19,-126.74
-96.19,-126.74
-96.87,-126.81
-97.48,-127
-97.98,-127.36
-97.98,-127.36
-97.98,-127.36
-98.11,-128.05
-98.23,-128.65
-98.35,-129.23
-98.35,-129.23
-98.5,-129.95
-98.61,-130.53
-98.73,-131.09
-98.83,-131.66
-98.99,-132.33
-99.1,-132.94
-99.23,-133.5
-99.36,-134.06
-99.53,-134.7
-99.53,-134.7
-99.71,-135.39
-99.71,-135.39
-99.91,-136.07
-99.91,-136.07
-100.09,-136.75
-100.24,-137.32
-100.39,-137.91
-100.53,-138.47
-100.71,-139.13
-100.83,-139.71
-100.99,-140.39
-101.13,-140.93
-101.26,-141.53
-101.37,-142.07
-101.55,-142.85
-101.66,-143.56
-101.83,-144.33
-101.83,-144.33
-102.1,-144.95
-102.6,-145.17
-102.6,-145.17
-102.6,-145.17
-103.18,-144.98
-103.75,-144.69
-103.75,-144.69
-104.31,-144.31
-104.86,-143.87
-105.41,-143.4
-105.84,-142.91
-106.27,-142.37
-106.65,-141.83
-106.65,-141.83
-106.95,-141.18
-106.69,-140.5
-106.69,-140.5
-106.42,-139.88
-106.16,-139.27
-105.9,-138.68
-105.68,-138.13
-105.37,-137.46
-105.11,-136.9
-104.86,-136.36
-104.86,-136.36
-104.61,-135.73
-104.46,-135.21
-104.27,-134.49
-104.15,-133.8
-104.01,-133.16
-103.89,-132.56
-103.72,-131.9
-103.56,-131.25
-103.41,-130.56
-103.28,-129.89
-103.17,-129.22
-103.08,-128.61
-102.96,-127.89
-102.87,-127.21
-102.78,-126.6
-102.68,-125.93
-102.54,-125.25
-102.54,-125.25
-102.36,-124.64
-102.36,-124.64
-101.9,-124.23
-101.3,-123.76
-100.8,-123.37
-100.3,-123
-99.73,-122.63
-99.21,-122.33
-98.62,-122.03
-98.08,-121.83
-97.48,-121.62
-96.87,-121.38
-96.29,-121.15
-95.67,-120.97
