index,time,x,y,地磁Y,地磁Z,磁偏角,气压,步长,单步转动角,偏航角,俯仰角,滚转角
8607,4027.25,17.5465653884589,-22.0478416538846,12.616949772534,-37.467134184396,-1.2459765115965,995.054016,0.543261873258081,-0.143465471471612,-2.626153,-0.016738,-0.122205
8637,4027.62,17.5201056177231,-22.8300274243927,11.986152328726,-36.934455904111,-1.25699415727684,995.070618,0.782633182948861,0.118196277343803,-2.587916,-0.050678,-0.066316
8686,4028.22,17.4542433228997,-23.5786255316366,11.061477936039,-36.375379322181,-1.27558923992044,995.113098,0.751489832298885,-0.0539397923254585,-2.938371,-0.063022,-0.105235
8715,4028.58,17.3370803317756,-24.207881885704,12.472669565143,-35.261544816767,-1.23081243860149,995.131531,0.640070875468786,-0.0963299440930939,-3.047403,-0.01952,-0.158604
8750,4029.01,17.2661007635102,-25.031397341043,13.930004291194,-36.346953884438,-1.20481164900258,995.155457,0.826568693027596,0.0981063808305944,3.114078,-0.073417,-0.087821
8775,4029.32,17.1814807159429,-25.5957175294674,12.253033833957,-35.318919029318,-1.23686309944723,995.169067,0.570629325844408,-0.0628630065188443,3.00598,-0.044603,-0.052329
8811,4029.77,17.0200980789304,-26.2773508916563,15.726581824816,-36.760136345455,-1.1665427532835,995.178711,0.700477262998625,-0.083636521340059,-3.070885,-0.142628,-0.063876
8833,4030.04,16.8391222838715,-26.8593185263735,17.256125886206,-35.640585603809,-1.11989219188641,995.187317,0.609457600047365,-0.169014473888965,-2.941327,-0.142556,-0.027469
8883,4030.65,16.2002491281543,-27.0723471887263,30.397890549423,-29.15193496097,-0.764478306583407,995.205933,0.673453873758191,-0.947453384532102,-1.910234,-0.05132,-0.129573
8934,4031.28,15.5200689672983,-26.6955465268868,30.104328683283,-28.723973743715,-0.761938338091287,995.213257,0.777575584740672,-0.827737992192578,-1.204564,-0.178907,-0.129386
8972,4031.75,15.2179740918589,-26.0353397345717,29.564200673821,-32.840576107609,-0.837852000630211,995.203735,0.726040165821274,-0.635772470600786,-0.508833,-0.149299,-0.117961
9019,4032.33,15.2742460838403,-25.3126741472646,24.613966771558,-35.533393936732,-0.9649868011021,995.212158,0.724853149375398,-0.506846811864719,0.106874,-0.092235,-0.180009
9071,4032.97,15.2879237675243,-24.3596784828175,20.43294258201,-35.657755914924,-1.05044426406639,995.205261,0.953093812531602,0.0633591372818491,0.084612,-0.11068,-0.203871
9097,4033.29,15.3249792094957,-24.1327895008415,21.478354519243,-33.394172457665,-0.999232748579308,995.206726,0.229895010650024,-0.147539099991496,0.256439,-0.104008,-0.189756
9133,4033.74,15.3782100018808,-23.5030652970301,16.830451247741,-33.248987348614,-1.10220548519288,995.230591,0.63197000729772,0.0775605674909565,0.252257,-0.097125,-0.203505
9162,4034.09,15.4320717227797,-23.2498911402876,16.667518742924,-32.706544930893,-1.09949185116929,995.245911,0.258840179687144,-0.125290643414262,0.384558,-0.05596,-0.175883
9210,4034.69,15.4779049534925,-22.5455876595686,18.606214005994,-30.879543332052,-1.02850998999272,995.273438,0.70579322608714,0.144636157152094,0.079289,-0.019353,-0.166236
9241,4035.07,15.5136867101804,-21.9459401348088,20.24040944086,-30.890066047264,-0.990746208125938,995.281555,0.60071414837858,0.00538369432221649,0.084877,-0.093461,-0.165569
9266,4035.38,15.5714710914067,-21.707303500487,19.576687794114,-31.762791623519,-1.01844847748973,995.305115,0.245533048598615,-0.177970390452301,0.347706,-0.056055,-0.143081
9293,4035.71,15.6225777553791,-21.1030135884316,20.043679371127,-31.255359674535,-1.00057011069322,995.313599,0.606447185593593,0.153198724056219,0.298689,-0.056931,-0.036461
9319,4036.03,15.6593611983217,-20.8901424002578,20.314624634158,-33.077524862347,-1.0200359540703,995.320435,0.216025842040275,-0.0867347496338126,0.395356,-0.046294,-0.125948
9346,4036.36,15.6455280372382,-20.3306189114027,18.676101262689,-31.838291887399,-1.04029366384946,995.326538,0.55969446211853,0.195825134561614,0.234204,-0.085028,-0.101162
9371,4036.67,15.673945334761,-20.1128596279288,18.572586177928,-30.247165326656,-1.02012640922919,995.348755,0.219605665540755,-0.154483433449146,0.472592,-0.047025,-0.163007
9400,4037.03,15.6718625484364,-19.4669261011104,18.367389363012,-30.08488707976,-1.02267828877084,995.382141,0.645936884739396,0.132989806274416,0.370312,-0.075742,-0.091259
9422,4037.3,15.6924686669512,-19.2484402929967,16.403803071615,-27.721943456986,-1.03648263997973,995.409363,0.21945537238212,-0.0972595964871074,0.3931,-0.107297,-0.094925
9457,4037.73,15.6860601413879,-18.6192965334187,15.400857252433,-27.885900929303,-1.06620344525435,995.428101,0.629176397694454,0.104220903014814,0.094037,-0.107691,-0.10517
9480,4038.02,15.7456778751145,-18.0470229832558,19.485589569764,-27.795987150104,-0.959385001152565,995.438416,0.575370567887138,-0.113988303773718,0.162592,-0.156977,-0.015352
9531,4038.65,16.3573120841245,-17.6421507919095,12.805255859306,-28.195415274504,-1.14448756593514,995.446716,0.733497032684359,-0.882262617501559,0.795864,-0.094922,-0.074343
9585,4039.31,17.1318854678412,-17.8356543850812,11.835748901833,-27.319407817261,-1.16197051008672,995.45636,0.79837808545373,-0.82954000382897,1.297385,-0.118389,-0.171438
9626,4039.82,17.6292866508464,-18.3949191751511,10.146571610457,-31.220126415677,-1.25656354337276,995.463074,0.748455103708287,-0.599068604157005,2.074663,-0.159767,-0.132316
9678,4040.46,17.7178672265366,-19.1816321420234,15.986168391191,-30.583789861853,-1.08915351901064,995.46405,0.791684160909254,-0.614795315043424,2.956702,-0.157032,-0.134059
9719,4040.97,17.7051866588661,-20.1443824630784,18.991068767572,-29.646129149492,-1.00106337642537,995.458862,0.962833826518268,-0.125293992582937,-2.851418,-0.132464,-0.106725
9744,4041.27,17.665907712691,-20.7162335424013,20.498103072337,-26.375931582617,-0.910143299930949,995.470764,0.573198475691836,-0.0554092238811095,-2.777024,-0.038551,-0.097558
9779,4041.71,17.7038362252798,-21.380750063492,21.061603201576,-26.4330996532,-0.898016376731298,995.475281,0.665598061047159,0.125594646628988,-2.650012,-0.097527,-0.13403
9804,4042.01,17.6889633132145,-21.9232361452582,21.871120364613,-23.505275942906,-0.821395945988856,995.490601,0.54268992290566,-0.0844243375082494,-2.437572,-0.121788,-0.196343
